Match,Feature,FeatureCategory,Team,Value,ConfidencePct,PredictedOutcome
Burnley vs Leeds United,HomeOverall_GA_L5,Attack,Home,2.4,37.2,Draw
Burnley vs Leeds United,HomeOverall_ShotsOnTargetA_L5,Other,Home,12.4,37.2,Draw
Burnley vs Leeds United,AwayOverall_xG_L5,Attack,Away,1.1,37.2,Draw
Burnley vs Leeds United,AwayOverall_G_L5,Attack,Away,1.2,37.2,Draw
Burnley vs Leeds United,AwayOverall_ShotsOnTarget_L5,Other,Away,22.2,37.2,Draw
Burnley vs Leeds United,AwayOverall_xGA_L5,Attack,Away,0.9,37.2,Draw
Burnley vs Leeds United,AwayOverall_GA_L5,Attack,Away,1.2,37.2,Draw
Burnley vs Leeds United,AwayOverall_ShotsOnTargetA_L5,Other,Away,17.2,37.2,Draw
Burnley vs Leeds United,Away_xG_L5,Attack,Away,0.5,37.2,Draw
Burnley vs Leeds United,Away_G_L5,Attack,Away,1.0,37.2,Draw
Burnley vs Leeds United,Away_ShotsOnTarget_L5,Other,Away,40.666666666666664,37.2,Draw
Burnley vs Leeds United,Away_xGA_L5,Attack,Away,1.8,37.2,Draw
Burnley vs Leeds United,Away_GA_L5,Attack,Away,2.3333333333333335,37.2,Draw
Burnley vs Leeds United,Away_ShotsOnTargetA_L5,Other,Away,4.333333333333333,37.2,Draw
Crystal Palace vs Bournemouth,xG_L5,Attack,Away,1.9333333333333331,43.3,Draw
Crystal Palace vs Bournemouth,G_L5,Attack,Away,1.0,43.3,Draw
Crystal Palace vs Bournemouth,ShotsOnTarget_L5,Other,Away,5.666666666666667,43.3,Draw
Crystal Palace vs Bournemouth,xGA_L5,Attack,Away,1.1333333333333335,43.3,Draw
Crystal Palace vs Bournemouth,GA_L5,Attack,Away,0.6666666666666666,43.3,Draw
Crystal Palace vs Bournemouth,ShotsOnTargetA_L5,Other,Away,45.666666666666664,43.3,Draw
Crystal Palace vs Bournemouth,HomeOverall_xG_L5,Attack,Home,2.1799999999999997,43.3,Draw
Crystal Palace vs Bournemouth,HomeOverall_G_L5,Attack,Home,1.6,43.3,Draw
Crystal Palace vs Bournemouth,HomeOverall_ShotsOnTarget_L5,Other,Home,25.6,43.3,Draw
Crystal Palace vs Bournemouth,HomeOverall_xGA_L5,Attack,Home,1.2399999999999998,43.3,Draw
Crystal Palace vs Bournemouth,HomeOverall_GA_L5,Attack,Home,0.8,43.3,Draw
Crystal Palace vs Bournemouth,HomeOverall_ShotsOnTargetA_L5,Other,Home,20.0,43.3,Draw
Crystal Palace vs Bournemouth,AwayOverall_xG_L5,Attack,Away,1.06,43.3,Draw
Crystal Palace vs Bournemouth,AwayOverall_G_L5,Attack,Away,1.6,43.3,Draw
Crystal Palace vs Bournemouth,AwayOverall_ShotsOnTarget_L5,Other,Away,14.8,43.3,Draw
Crystal Palace vs Bournemouth,AwayOverall_xGA_L5,Attack,Away,0.74,43.3,Draw
Crystal Palace vs Bournemouth,AwayOverall_GA_L5,Attack,Away,0.8,43.3,Draw
Crystal Palace vs Bournemouth,AwayOverall_ShotsOnTargetA_L5,Other,Away,23.0,43.3,Draw
Crystal Palace vs Bournemouth,Away_xG_L5,Attack,Away,1.3,43.3,Draw
Crystal Palace vs Bournemouth,Away_G_L5,Attack,Away,1.6666666666666667,43.3,Draw
Crystal Palace vs Bournemouth,Away_ShotsOnTarget_L5,Other,Away,38.333333333333336,43.3,Draw
Crystal Palace vs Bournemouth,Away_xGA_L5,Attack,Away,1.4,43.3,Draw
Crystal Palace vs Bournemouth,Away_GA_L5,Attack,Away,2.0,43.3,Draw
Crystal Palace vs Bournemouth,Away_ShotsOnTargetA_L5,Other,Away,6.333333333333333,43.3,Draw
Brighton vs Newcastle Utd,xG_L5,Attack,Away,1.6666666666666667,53.4,Draw
Brighton vs Newcastle Utd,G_L5,Attack,Away,1.6666666666666667,53.4,Draw
Brighton vs Newcastle Utd,ShotsOnTarget_L5,Other,Away,4.333333333333333,53.4,Draw
Brighton vs Newcastle Utd,xGA_L5,Attack,Away,1.2333333333333334,53.4,Draw
Brighton vs Newcastle Utd,GA_L5,Attack,Away,1.3333333333333333,53.4,Draw
Brighton vs Newcastle Utd,ShotsOnTargetA_L5,Other,Away,40.333333333333336,53.4,Draw
Brighton vs Newcastle Utd,HomeOverall_xG_L5,Attack,Home,1.46,53.4,Draw
Brighton vs Newcastle Utd,HomeOverall_G_L5,Attack,Home,1.8,53.4,Draw
Brighton vs Newcastle Utd,HomeOverall_ShotsOnTarget_L5,Other,Home,23.2,53.4,Draw
Brighton vs Newcastle Utd,HomeOverall_xGA_L5,Attack,Home,1.36,53.4,Draw
Brighton vs Newcastle Utd,HomeOverall_GA_L5,Attack,Home,1.4,53.4,Draw
Brighton vs Newcastle Utd,HomeOverall_ShotsOnTargetA_L5,Other,Home,19.6,53.4,Draw
Brighton vs Newcastle Utd,AwayOverall_xG_L5,Attack,Away,1.2,53.4,Draw
Brighton vs Newcastle Utd,AwayOverall_G_L5,Attack,Away,0.8,53.4,Draw
Brighton vs Newcastle Utd,AwayOverall_ShotsOnTarget_L5,Other,Away,8.6,53.4,Draw
